Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2015-11-03;01:10:43;13.48;146.18;30; ;mb;5.2;MARIANA ISLANDS REGION;2015-11-03 02:00;467920;
2015-11-02;16:36:48;-7.01;129.65;128; ;Mw;5.1;KEPULAUAN BABAR, INDONESIA;2015-11-03 00:08;467857;
2015-11-02;08:31:19;51.56;-173.32;40; ;mb;5.2;ANDREANOF ISLANDS, ALEUTIAN IS.;2015-11-02 12:31;467819;
2015-11-02;08:27:53;52.19;-173.65;30; ;mb;5.1;ANDREANOF ISLANDS, ALEUTIAN IS.;2015-11-02 12:30;467818;
2015-11-02;08:24:25;51.67;-173.32;33; ;mb;5.2;ANDREANOF ISLANDS, ALEUTIAN IS.;2015-11-02 12:28;467817;
2015-11-02;08:15:34;51.73;-173.39;18; ;Mw;5.8;ANDREANOF ISLANDS, ALEUTIAN IS.;2015-11-02 12:28;467816;
2015-11-02;03:35:02;11.85;-88.94;30;f;mb;5.0;OFF COAST OF CENTRAL AMERICA;2015-11-02 08:15;467783;
2015-11-02;03:04:07;-18.22;-177.82;609; ;Mw;5.6;FIJI REGION;2015-11-02 08:14;467782;
2015-11-01;21:09:41;22.78;121.71;10;f;Mw;5.3;TAIWAN REGION;2015-11-02 08:10;467747;
2015-11-01;15:16:16;-23.23;-68.33;106; ;Mw;5.9;ANTOFAGASTA, CHILE;2015-11-01 19:39;467717;
2015-11-01;05:42:11;-39.41;175.95;55; ;Mw;5.3;NORTH ISLAND OF NEW ZEALAND;2015-11-01 07:12;467642;
2015-11-01;03:48:48;41.63;142.11;58; ;mb;5.3;HOKKAIDO, JAPAN REGION;2015-11-01 07:11;467633;
2015-11-01;01:28:38;-38.75;-73.26;20;f;mb;5.1;ARAUCANIA, CHILE;2015-11-01 07:09;467614;
2015-10-31;04:43:58;-9.21;124.11;87; ;Mw;5.0;TIMOR REGION;2015-10-31 08:20;467484;
2015-10-30;11:26:44;25.14;99.59;30;f;Mw;5.0;YUNNAN, CHINA;2015-10-31 08:01;467329;
2015-10-30;10:27:02;-6.24;130.06;169; ;mb;5.1;BANDA SEA;2015-10-31 07:59;467317;
2015-10-30;07:18:22;-60.98;-50.96;10;f;mb;5.0;SCOTIA SEA;2015-10-31 07:58;467294;
2015-10-30;06:58:56;12.51;125.81;60; ;mb;5.0;SAMAR, PHILIPPINES;2015-10-30 07:44;467291;
2015-10-30;03:18:41;-60.96;-51.39;10;f;mb;5.0;SCOTIA SEA;2015-10-30 07:42;467271;
2015-10-29;20:41:08;-41.12;-91.21;10; ;mb;5.0;SOUTHEAST OF EASTER ISLAND;2015-10-30 07:36;467231;
2015-10-29;02:49:27;51.81;178.54;92; ;Mw;5.4;RAT ISLANDS, ALEUTIAN ISLANDS;2015-10-29 07:52;467118;
2015-10-28;20:46:41;-10.97;166.39;155; ;Mw;5.8;SANTA CRUZ ISLANDS;2015-10-29 07:44;467081;
2015-10-28;14:04:55;13.84;-58.36;20; ;mb;5.0;BARBADOS REGION, WINDWARD ISL.;2015-10-28 15:50;467042;
2015-10-27;22:49:41;13.23;-88.12;152; ;mb;5.0;EL SALVADOR;2015-10-28 07:41;466933;
2015-10-27;13:15:04;27.27;66.10;10; ;mb;5.1;PAKISTAN;2015-10-28 08:09;466849;
2015-10-27;12:15:21;-16.39;67.21;10; ;mb;5.2;MID-INDIAN RIDGE;2015-10-27 14:09;466826;
2015-10-27;11:04:57;-16.52;66.45;10;f;Mw;5.3;MID-INDIAN RIDGE;2015-10-29 08:29;466822;
2015-10-26;18:11:29;30.15;98.01;40; ;mb;5.0;EASTERN XIZANG;2015-10-27 07:39;466662;
2015-10-26;13:12:01;-17.88;-178.50;599; ;mb;5.1;FIJI REGION;2015-10-27 07:36;466619;
2015-10-26;10:09:07;-1.42;97.18;30;f;mb;5.1;SOUTHWEST OF SUMATRA, INDONESIA;2015-10-26 15:23;466602;
2015-10-26;09:09:32;36.48;70.91;207; ;Mw;7.5;HINDU KUSH REGION, AFGHANISTAN;2015-10-27 09:14;466583;
2015-10-26;04:01:56;-5.10;151.12;145; ;mb;5.0;NEW BRITAIN REGION, P.N.G.;2015-10-26 07:40;466537;
2015-10-26;01:41:32;-25.25;178.81;560; ;mb;5.1;SOUTH OF FIJI ISLANDS;2015-10-26 07:36;466527;
2015-10-25;14:58:57;-29.33;-177.76;10;f;Mw;5.7;KERMADEC ISLANDS, NEW ZEALAND;2015-10-25 19:06;466467;
2015-10-25;14:47:54;18.39;-101.58;60; ;mb;5.1;GUERRERO, MEXICO;2015-10-25 19:14;466464;
2015-10-24;21:24:45;-31.42;-71.36;48; ;mb;5.1;COQUIMBO, CHILE;2015-10-25 00:41;466342;
2015-10-24;17:31:18;-30.34;-179.22;311; ;mb;5.1;KERMADEC ISLANDS REGION;2015-10-25 00:44;466323;
2015-10-23;22:03:21;-2.14;138.27;2; ;mb;5.7;PAPUA, INDONESIA;2015-10-24 09:06;466230;
2015-10-23;04:04:17;-45.82;37.20;10; ;Mw;6.0;PRINCE EDWARD ISLANDS REGION;2015-10-23 07:00;466118;
2015-10-23;01:40:05;-54.28;6.38;10; ;Mw;6.1;BOUVET ISLAND REGION;2015-10-23 06:59;466105;
2015-10-23;00:32:24;-23.76;-176.61;100; ;mb;5.0;SOUTH OF FIJI ISLANDS;2015-10-23 06:58;466096;
2015-10-23;00:27:39;29.63;70.41;10; ;Mw;5.5;PAKISTAN;2015-10-23 06:58;466092;
2015-10-22;17:47:44;17.92;147.04;10; ;Mw;5.3;MARIANA ISLANDS REGION;2015-10-23 06:48;466030;
2015-10-22;16:04:28;-38.52;178.38;10;f;mb;5.0;OFF E. COAST OF N. ISLAND, N.Z.;2015-10-23 06:46;466028;
2015-10-22;07:50:29;-27.92;74.01;10;f;Mw;5.1;MID-INDIAN RIDGE;2015-10-22 14:37;465960;
2015-10-22;01:17:10;-60.39;-45.34;10;f;mb;5.4;SCOTIA SEA;2015-10-22 06:42;465913;
2015-10-22;00:32:27;-27.78;74.03;10;f;mb;5.3;MID-INDIAN RIDGE;2015-10-22 06:40;465905;
2015-10-21;20:33:26;64.27;-130.93;10;f;mb;5.0;NORTHWEST TERRITORIES, CANADA;2015-10-22 06:36;465871;
2015-10-21;06:04:50;37.36;141.16;40; ;Mw;5.2;NEAR EAST COAST OF HONSHU, JAPAN;2015-10-21 14:45;465763;
2015-10-20;21:52:03;-14.87;167.35;147; ;Mw;7.1;VANUATU;2015-10-26 07:51;465681;
2015-10-20;20:33:14;-57.45;-66.18;20;f;Mw;5.5;DRAKE PASSAGE;2015-10-21 06:48;465674;
2015-10-20;10:06:14;-30.75;-71.48;40;f;mb;5.3;COQUIMBO, CHILE;2015-10-20 11:36;465598;
2015-10-20;09:29:09;27.06;140.31;319; ;Mw;5.7;BONIN ISLANDS, JAPAN REGION;2015-10-20 11:34;465591;
2015-10-20;00:36:56;12.90;143.94;100; ;Mw;5.4;GUAM REGION;2015-10-20 06:47;465520;
2015-10-19;13:50:43;13.87;120.72;123; ;Mw;5.8;MINDORO, PHILIPPINES;2015-10-19 14:25;465424;
2015-10-19;02:17:38;24.74;121.98;10;f;Mw;5.2;TAIWAN;2015-10-19 07:22;465337;
2015-10-18;18:17:25;-16.11;-173.50;10; ;mb;5.0;TONGA;2015-10-19 06:58;465279;
2015-10-18;16:23:37;-16.11;-173.35;10; ;mb;5.2;TONGA;2015-10-18 21:09;465272;
2015-10-18;16:18:35;-16.03;-173.31;10; ;Mw;6.0;TONGA;2015-10-18 21:13;465264;
2015-10-18;13:00:21;2.82;126.59;60; ;mb;5.0;MOLUCCA SEA;2015-10-18 21:18;465245;
2015-10-18;10:35:01;45.89;150.87;80; ;mb;5.1;KURIL ISLANDS;2015-10-18 21:20;465226;
2015-10-17;21:02:32;-20.14;169.17;60; ;mb;5.3;VANUATU;2015-10-18 08:25;465129;
2015-10-17;20:44:55;-5.15;152.85;60; ;mb;5.4;NEW BRITAIN REGION, P.N.G.;2015-10-18 08:16;465123;
2015-10-17;17:52:21;-42.66;-82.28;10; ;Mw;5.6;WEST CHILE RISE;2015-10-19 07:29;465106;
2015-10-17;11:39:05;-55.74;-27.55;3; ;mb;5.0;SOUTH SANDWICH ISLANDS REGION;2015-10-30 10:59;467323;
2015-10-17;11:33:08;-25.42;-64.63;10; ;Mw;5.9;SALTA, ARGENTINA;2015-10-17 13:16;465067;
2015-10-16;06:38:25;55.66;159.12;275; ;Mw;5.6;KAMCHATKA PENINSULA, RUSSIA;2015-10-16 14:35;464837;
