Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2016-06-05;10:38:31;-3.08;125.35;40; ;mb;5.0;BANDA SEA;2016-06-05 11:00;510574;
2016-06-05;06:24:34;-4.62;-104.98;10;f;mb;4.5;CENTRAL EAST PACIFIC RISE;2016-06-05 07:11;510549;
2016-06-05;05:51:12;-29.34;-71.69;30;f;Mw;5.7;OFFSHORE COQUIMBO, CHILE;2016-06-05 09:58;510536;
2016-06-05;04:52:54;-15.37;-71.24;148; ;mb;4.5;SOUTHERN PERU;2016-06-05 09:53;510529;
2016-06-05;04:07:05;-15.93;-74.15;50;f;Mw;5.0;NEAR COAST OF SOUTHERN PERU;2016-06-05 09:23;510527;
2016-06-05;02:47:52;28.90;128.13;191; ;mb;4.7;RYUKYU ISLANDS, JAPAN;2016-06-05 09:18;510516;
2016-06-05;01:54:21;16.05;-98.22;10;f;mb;4.7;OFFSHORE OAXACA, MEXICO;2016-06-05 02:17;510513;
2016-06-05;01:53:58;-24.26;-67.04;175; ;mb;4.5;SALTA, ARGENTINA;2016-06-05 09:13;510509;
2016-06-04;21:59:17;-18.25;168.20;55; ;mb;5.2;VANUATU;2016-06-04 22:37;510474;
2016-06-04;21:44:40;2.05;126.69;30; ;mb;4.5;MOLUCCA SEA;2016-06-05 08:41;510480;
2016-06-04;16:38:26;38.21;20.25;10; ;mb;4.7;GREECE;2016-06-04 17:28;510449;
2016-06-04;15:18:21;-5.27;97.80;10; ;mb;4.8;SOUTHWEST OF SUMATRA, INDONESIA;2016-06-04 22:29;510441;
2016-06-04;10:44:09;0.50;126.39;14;f;Mw;5.4;MOLUCCA SEA;2016-06-04 22:33;510412;
2016-06-04;09:18:42;-15.64;-173.13;60; ;Mw;5.2;TONGA;2016-06-04 22:11;510404;
2016-06-04;06:31:36;-20.73;-177.74;469; ;mb;4.6;FIJI REGION;2016-06-04 22:07;510386;
2016-06-04;05:56:28;31.83;128.84;10; ;mb;4.8;NORTHWEST OF RYUKYU ISLANDS;2016-06-04 22:05;510384;
2016-06-04;05:00:03;0.67;-29.18;10;f;mb;4.8;CENTRAL MID-ATLANTIC RIDGE;2016-06-04 05:21;510379;
2016-06-04;03:18:44;-1.61;100.10;44; ;mb;4.6;SOUTHERN SUMATRA, INDONESIA;2016-06-04 21:56;510366;
2016-06-03;21:00:31;24.37;126.46;10;f;mb;4.7;RYUKYU ISLANDS, JAPAN;2016-06-04 21:25;510304;
2016-06-03;20:40:22;-0.07;123.69;147; ;M ;4.5;SULAWESI, INDONESIA;2016-06-04 07:03;510387;
2016-06-03;20:17:04;-19.96;-63.19;578; ;mb;4.6;SANTA CRUZ, BOLIVIA;2016-06-04 21:21;510279;
2016-06-03;19:27:39;-6.79;105.09;60; ;mb;4.7;SUNDA STRAIT, INDONESIA;2016-06-04 21:18;510275;
2016-06-03;18:23:10;54.13;169.44;13;f;Mw;5.3;KOMANDORSKIYE OSTROVA REGION;2016-06-04 21:13;510269;
2016-06-03;15:51:46;52.48;-33.89;10;f;mb;4.6;REYKJANES RIDGE;2016-06-04 20:59;510253;
2016-06-03;13:40:11;-49.31;148.43;15; ;Mw;5.1;SOUTH OF TASMANIA;2016-06-04 20:53;510229;
2016-06-03;11:50:10;20.57;120.56;10; ;mb;4.9;PHILIPPINE ISLANDS REGION;2016-06-03 14:54;510210;
2016-06-03;08:28:56;-16.31;-175.90;345; ;mb;4.9;TONGA;2016-06-03 11:37;510180;
