Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2016-04-16;10:55:45;22.42;121.85;15; ;mb;4.9;TAIWAN REGION;2016-04-16 11:20;501067;
2016-04-16;08:40:21;32.78;130.57;10; ;mb;4.6;KYUSHU, JAPAN;2016-04-16 10:49;501055;
2016-04-16;07:56:21;3.51;127.03;70; ;mb;4.5;KEPULAUAN TALAUD, INDONESIA;2016-04-16 10:50;501049;
2016-04-16;07:34:24;-29.62;-111.68;10; ;mb;5.3;EASTER ISLAND REGION;2016-04-16 10:51;501046;
2016-04-16;07:02:01;32.71;130.66;10; ;mb;5.4;KYUSHU, JAPAN;2016-04-16 10:52;501044;
2016-04-16;06:05:23;-26.47;-70.05;68; ;Mw;5.3;ATACAMA, CHILE;2016-04-16 10:55;501033;
2016-04-16;05:27:04;32.69;130.71;2; ;mb;4.6;KYUSHU, JAPAN;2016-04-16 10:56;501043;
2016-04-16;05:03:57;32.93;131.17;5; ;mb;4.6;KYUSHU, JAPAN;2016-04-16 10:56;501029;
2016-04-16;04:14:27;-5.93;149.49;100; ;mb;4.6;NEW BRITAIN REGION, P.N.G.;2016-04-16 04:36;501024;
2016-04-16;02:39:30;41.08;70.94;20; ;mb;4.9;EASTERN UZBEKISTAN;2016-04-16 11:01;501011;
2016-04-16;02:10:46;36.08;70.86;90; ;mb;4.8;HINDU KUSH REGION, AFGHANISTAN;2016-04-16 11:04;501004;
2016-04-16;02:02:51;32.71;130.69;10; ;mb;4.8;KYUSHU, JAPAN;2016-04-16 11:05;501003;
2016-04-16;00:48:33;32.83;130.77;15; ;Mw;5.2;KYUSHU, JAPAN;2016-04-16 11:09;500986;
2016-04-16;00:22:14;-14.59;166.65;10;f;mb;4.9;VANUATU;2016-04-16 00:47;500985;
2016-04-16;00:10:40;34.78;25.73;10;f;mb;4.7;CRETE, GREECE;2016-04-16 00:23;500979;
2016-04-15;23:20:41;32.69;130.63;8; ;mb;4.6;KYUSHU, JAPAN;2016-04-16 11:14;500970;
2016-04-15;22:23:55;32.79;130.74;15; ;mb;4.9;KYUSHU, JAPAN;2016-04-16 11:16;500931;
2016-04-15;22:11:38;33.27;131.39;4; ;Mw;5.1;KYUSHU, JAPAN;2016-04-16 11:16;500928;
2016-04-15;21:40:01;32.97;130.89;10;f;mb;4.6;KYUSHU, JAPAN;2016-04-15 22:02;500925;
2016-04-15;19:51:24;32.71;130.76;4; ;mb;4.6;KYUSHU, JAPAN;2016-04-15 21:46;500923;
2016-04-15;18:55:53;32.95;131.20;10;f;Mw;5.5;KYUSHU, JAPAN;2016-04-16 11:20;500875;
2016-04-15;18:47:12;-14.55;166.87;40; ;mb;5.1;VANUATU;2016-04-16 11:21;500874;
2016-04-15;18:26:52;32.86;130.92;10;f;mb;4.5;KYUSHU, JAPAN;2016-04-15 20:33;500887;
2016-04-15;18:16:42;33.09;130.84;19; ;mb;4.6;KYUSHU, JAPAN;2016-04-15 18:57;500872;
2016-04-15;18:03:12;32.99;131.04;10; ;mb;5.3;KYUSHU, JAPAN;2016-04-16 11:22;500866;
2016-04-15;17:49:18;33.22;131.33;13; ;mb;4.5;KYUSHU, JAPAN;2016-04-15 21:59;500924;
2016-04-15;17:04:12;32.78;130.82;10; ;mb;4.7;KYUSHU, JAPAN;2016-04-16 11:25;500853;
2016-04-15;16:45:56;32.94;130.90;10;f;Mw;5.7;KYUSHU, JAPAN;2016-04-16 11:29;500841;
2016-04-15;16:44:07;32.70;130.72;15; ;Mw;5.7;KYUSHU, JAPAN;2016-04-16 11:28;500840;
2016-04-15;16:25:07;32.85;130.57;10;f;Mw;7.0;KYUSHU, JAPAN;2016-04-15 16:41;500833;
2016-04-15;15:21:25;51.30;90.12;10; ;mb;4.8;SOUTHWESTERN SIBERIA, RUSSIA;2016-04-16 11:30;500822;
2016-04-15;15:20:21;-14.14;166.50;10;f;mb;4.8;VANUATU;2016-04-15 16:08;500827;
2016-04-15;14:11:30;13.54;-92.20;45;f;Mw;6.2;OFFSHORE GUATEMALA;2016-04-15 14:34;500815;
2016-04-15;12:51:24;36.45;71.35;94; ;mb;4.5;HINDU KUSH REGION, AFGHANISTAN;2016-04-15 14:35;500808;
2016-04-15;11:05:33;4.10;126.72;60; ;mb;5.1;KEPULAUAN TALAUD, INDONESIA;2016-04-15 12:54;500792;
2016-04-15;10:41:50;-24.76;179.85;522; ;mb;4.7;SOUTH OF FIJI ISLANDS;2016-04-15 12:53;500786;
2016-04-15;10:24:32;-3.51;100.57;50; ;Mw;5.0;KEP. MENTAWAI REGION, INDONESIA;2016-04-15 12:53;500780;
2016-04-15;08:54:39;-13.77;166.62;40; ;Mw;5.0;VANUATU;2016-04-15 12:52;500770;
2016-04-15;04:50:11;2.03;127.06;90; ;mb;5.7;MOLUCCA SEA;2016-04-15 07:00;500730;
2016-04-15;04:27:54;-32.16;-71.97;10; ;mb;4.6;OFFSHORE VALPARAISO, CHILE;2016-04-15 06:58;500727;
2016-04-15;03:43:03;-14.63;166.49;10;f;Mw;5.7;VANUATU;2016-04-15 06:56;500721;
2016-04-14;23:15:09;-7.56;128.13;168; ;Mw;5.6;KEPULAUAN BARAT DAYA, INDONESIA;2016-04-15 06:53;500685;
2016-04-14;22:46:53;32.79;130.72;10;f;mb;4.5;KYUSHU, JAPAN;2016-04-15 06:52;500683;
2016-04-14;22:29:57;32.86;130.74;10;f;mb;4.6;KYUSHU, JAPAN;2016-04-14 23:00;500682;
2016-04-14;22:23:27;-14.16;166.60;10;f;mb;5.2;VANUATU;2016-04-15 06:51;500679;
2016-04-14;21:50:27;-14.50;166.43;20; ;Mw;6.3;VANUATU;2016-04-15 08:08;500675;
2016-04-14;20:10:37;32.76;130.69;10; ;mb;4.8;KYUSHU, JAPAN;2016-04-15 06:49;500661;
2016-04-14;18:29:17;36.19;141.91;20;f;mb;4.7;NEAR EAST COAST OF HONSHU, JAPAN;2016-04-15 06:49;500649;
2016-04-14;17:14:35;32.72;130.67;10; ;mb;4.5;KYUSHU, JAPAN;2016-04-15 06:47;500647;
2016-04-14;16:53:01;32.70;130.82;10;f;mb;4.9;KYUSHU, JAPAN;2016-04-15 06:47;500634;
2016-04-14;16:45:20;-20.55;-175.02;10; ;mb;4.8;TONGA;2016-04-15 06:46;500638;
2016-04-14;16:44:34;-0.50;-11.60;10; ;mb;5.1;NORTH OF ASCENSION ISLAND;2016-04-15 06:45;500633;
2016-04-14;15:50:31;32.71;130.66;10; ;mb;4.5;KYUSHU, JAPAN;2016-04-15 06:45;500632;
2016-04-14;15:34:18;32.71;130.80;10; ;mb;4.7;KYUSHU, JAPAN;2016-04-15 06:44;500623;
2016-04-14;15:25:39;34.12;138.29;260; ;mb;4.7;NEAR S. COAST OF HONSHU, JAPAN;2016-04-15 06:43;500619;
2016-04-14;15:06:22;32.74;130.86;10; ;mb;5.3;KYUSHU, JAPAN;2016-04-15 06:42;500624;
2016-04-14;15:03:48;32.66;130.84;10;f;Mw;6.0;KYUSHU, JAPAN;2016-04-15 06:41;500610;
2016-04-14;14:48:18;-5.71;149.43;158; ;mb;4.8;NEW BRITAIN REGION, P.N.G.;2016-04-15 06:40;500609;
2016-04-14;14:43:42;32.76;130.75;15; ;mb;5.0;KYUSHU, JAPAN;2016-04-15 06:39;500606;
